1,7/1/2024,6.29,7620
2,10/19/2025,5.58,11435
3,8/4/2023,19.62,7033
4,4/22/2024,12.42,16093
5,7/22/2024,29.24,1718
6,6/26/2023,38.47,14673
7,6/27/2024,25.23,2484
8,2/21/2024,15.75,17111
9,1/3/2024,22.65,4351
10,5/5/2025,4.31,1608
11,4/14/2023,29.56,12877
12,12/25/2023,43.09,11158
13,8/14/2024,16.5,19020
14,5/6/2025,39.57,7892
15,10/1/2025,35.13,1222
16,7/18/2024,41.9,10005
17,9/15/2025,34.66,14152
18,3/2/2024,4.51,8113
19,11/23/2025,8.32,5018
20,9/22/2023,43.14,6966
21,8/20/2025,2.76,8118
22,6/20/2024,6.7,4506
23,3/23/2024,6.46,8770
24,3/10/2024,47.35,14324
25,11/29/2025,11.42,2393
26,4/10/2025,20.98,15009
27,12/3/2023,16.09,2124
28,5/30/2025,6.02,16123
29,3/12/2023,40.8,3584
30,3/9/2024,17.17,7377
31,6/12/2024,7.88,18973
32,1/11/2024,21.29,7967
33,5/30/2024,20.22,3071
34,5/16/2023,4.05,17853
35,6/22/2023,16.12,2793
36,1/14/2023,33.68,6629
37,11/22/2025,11.07,7767
38,9/30/2025,29.29,1887
39,1/12/2025,23.83,241
40,11/26/2023,12.77,14730
41,11/6/2024,25.16,1304
42,1/26/2023,34.73,730
43,3/21/2025,48.13,1702
44,3/6/2024,14.2,6974
45,10/11/2025,15.04,13549
46,4/18/2025,45.67,10480
47,12/18/2023,35.93,260
48,8/20/2024,10.62,3199
49,4/27/2024,10.82,13235
50,10/22/2025,34.79,19189
51,7/2/2024,29.46,5906
52,11/6/2024,40.91,15802
53,5/20/2025,3.32,4715
54,1/15/2025,20.63,5542
55,11/21/2024,39.12,4504
56,8/30/2025,21.25,3834
57,8/4/2025,35.42,15172
58,10/21/2025,30.29,16659
59,3/2/2023,26.71,110
60,11/24/2025,2.49,5357
61,11/17/2025,12.32,6289
62,11/4/2025,46.63,4729
63,5/25/2024,45.52,4017
64,9/8/2023,48.76,5910
65,11/11/2023,7.77,14304
66,11/17/2023,9.78,7337
67,9/8/2024,27.42,14053
68,3/17/2023,3.49,2806
69,6/26/2025,44.71,11157
70,3/30/2023,46.39,16180
71,1/20/2023,32.57,15245
